songs,spotify,tiktok,billboard
1,618736819,48900,no
2,897344945,402000,yes
3,900129828,132500,yes
4,1518189079,2700000,yes
5,906303952,50600,no
6,1174552832,7368,yes
7,458835889,25200,yes
8,1173814404,166800,yes
9,780745734,1519,yes
10,788576475,23700,yes
11,440371277,0,no
12,1318683267,370700,yes
13,323067702,125,no
14,1015117952,925,no
15,433659220,24500,no
16,964135722,79300,yes
17,524030462,336600,yes
18,697166634,6044,yes
19,1082387786,12600,yes
20,2633158707,60300,yes
21,1547570474,743300,yes
22,179838866,0,no
23,683540480,0,no
24,759930079,5765,no
25,1515240645,724300,yes
26,624246780,0,no
27,2044549792,0,yes
28,1383941332,1200000,yes
29,1411952385,27200,no
30,597983538,201800,yes
31,199881784,0,no
32,512409651,160300,no
33,282896533,73600,no
34,280691005,38000,no
35,502538625,547100,no
36,911539383,127400,no
37,692537187,78500,no
38,546807510,81600,no
39,1932598089,0,no
40,1130538956,279000,yes
41,380591205,112600,no
42,1023304576,2709,no
43,442580113,73800,no
44,773369887,0,yes
45,643662721,36200,no
46,453761412,0,no
47,760563579,1000000,yes
48,579342171,0,no
49,928370405,0,yes
50,398673274,0,no
51,381996978,15500,no
52,1880510276,424700,no
53,641013089,20100,yes
54,604859666,21300,yes
55,878501430,0,no
56,979755131,335000,yes
57,843045861,59700,no
58,1547194185,0,no
59,381959629,5290,no
60,852271277,35300,no